news_date,source,headline,price_date_base,price_date_next,urea_abs_pct,dap_abs_pct,mop_abs_pct
2023-06-29,Reuters,Падение цен на зерно ослабляет спрос на удобрения,2023-07-03,2023-07-10,0.018631,0.028897,0.018123
2023-08-08,CRU,Новые контракты по калию заключены ниже рынка,2023-08-14,2023-08-21,0.037210,0.038717,0.026939
2023-08-15,Профильный телеграм-канал,Нарушение цепочек поставок: контейнеры подорожали в разы,2023-08-21,2023-08-28,0.018532,0.052241,0.030769
2023-08-15,Профильный телеграм-канал,Подписан меморандум о научном сотрудничестве с вузом,2023-08-21,2023-08-28,0.018532,0.052241,0.030769
2023-08-23,Reuters,Фермеры откладывают закупки удобрений,2023-08-28,2023-09-04,0.025418,0.055413,0.002442
2023-08-28,Интерфакс,Падение цен на зерно ослабляет спрос на удобрения,2023-08-28,2023-09-04,0.025418,0.055413,0.002442
2023-09-01,Argus,Цены на DAP растут на фоне крепкого спроса в Южной Азии,2023-09-04,2023-09-11,0.027819,0.044917,0.007344
2023-09-04,Bloomberg,Фосфатное сырьё дорожает вслед за серой,2023-09-04,2023-09-11,0.027819,0.044917,0.007344
2023-09-09,Reuters,Газ дешевеет вторую неделю подряд,2023-09-11,2023-09-18,0.005110,0.013187,0.049938
2023-09-12,CRU,Фосфатное сырьё дорожает вслед за серой,2023-09-18,2023-09-25,0.012201,0.033650,0.002812
2023-09-16,Bloomberg,"Ставки фрахта снижаются, логистика дешевеет",2023-09-18,2023-09-25,0.012201,0.033650,0.002812
2023-10-28,Коммерсантъ,Фосфатное сырьё дорожает вслед за серой,2023-10-30,2023-11-06,0.029703,0.005740,0.003856
2023-11-01,CRU,"Ставки фрахта снижаются, логистика дешевеет",2023-11-06,2023-11-13,0.098180,0.016658,0.057362
2023-11-09,Bloomberg,Фосфатное сырьё дорожает вслед за серой,2023-11-13,2023-11-20,0.094801,0.040558,0.093485
2023-11-11,CRU,Новые контракты по калию заключены ниже рынка,2023-11-13,2023-11-20,0.094801,0.040558,0.093485
2023-11-15,Профильный телеграм-канал,Цены на DAP растут на фоне крепкого спроса в Южной Азии,2023-11-20,2023-11-27,0.017598,0.020892,0.019712
2023-11-16,ICIS,Запущена корпоративная программа стажировок,2023-11-20,2023-11-27,0.017598,0.020892,0.019712
2023-11-17,Reuters,Локдауны бьют по логистике и спросу на удобрения,2023-11-20,2023-11-27,0.017598,0.020892,0.019712
2023-11-28,CRU,Рост цен на зерно поддерживает спрос на удобрения,2023-12-04,2023-12-11,0.025869,0.078686,0.028219
2023-11-29,Argus,Подписан меморандум о научном сотрудничестве с вузом,2023-12-04,2023-12-11,0.025869,0.078686,0.028219
2023-11-29,Argus,Снижение цен на серу тянет вниз котировки фосфатных удобрений,2023-12-04,2023-12-11,0.025869,0.078686,0.028219
2023-12-02,ICIS,Цены на газ в Европе подскочили до многомесячных максимумов,2023-12-04,2023-12-11,0.025869,0.078686,0.028219
2023-12-02,Reuters,Нарушение цепочек поставок: контейнеры подорожали в разы,2023-12-04,2023-12-11,0.025869,0.078686,0.028219
2023-12-12,Коммерсантъ,"Поставки калия восстанавливаются, цены MOP снижаются",2023-12-18,2023-12-25,0.052592,0.045662,0.019239
2023-12-12,Коммерсантъ,Рост цен на зерно поддерживает спрос на удобрения,2023-12-18,2023-12-25,0.052592,0.045662,0.019239
2023-12-14,Argus,Газ дешевеет вторую неделю подряд,2023-12-18,2023-12-25,0.052592,0.045662,0.019239
2023-12-14,Профильный телеграм-канал,Опубликован годовой ESG-отчёт компании,2023-12-18,2023-12-25,0.052592,0.045662,0.019239
2023-12-19,Reuters,Новые контракты по калию заключены ниже рынка,2023-12-25,2024-01-01,0.034263,0.056426,0.007682
2024-01-13,Коммерсантъ,Котировки аммиака пошли вниз на фоне слабого спроса,2024-01-15,2024-01-22,0.041766,0.042702,0.000832
2024-01-16,Reuters,"Ставки фрахта снижаются, логистика дешевеет",2024-01-22,2024-01-29,0.087079,0.071333,0.004372
2024-01-18,Argus,"Поставки хлористого калия сорваны, цены MOP идут вверх",2024-01-22,2024-01-29,0.087079,0.071333,0.004372
2024-01-20,Argus,Снижение цен на серу тянет вниз котировки фосфатных удобрений,2024-01-22,2024-01-29,0.087079,0.071333,0.004372
2024-01-24,Reuters,Введены ограничения на экспорт калия — рынок ждёт дефицита,2024-01-29,2024-02-05,0.045572,0.029346,0.070274
2024-01-27,Bloomberg,Производители аммиака объявили о сокращении мощностей,2024-01-29,2024-02-05,0.045572,0.029346,0.070274
2024-01-29,Argus,Фосфатное сырьё дорожает вслед за серой,2024-01-29,2024-02-05,0.045572,0.029346,0.070274
2024-01-30,Профильный телеграм-канал,Высокие цены на агрокультуры стимулируют закупки удобрений фермерами,2024-02-05,2024-02-12,0.059070,0.016202,0.041918
2024-02-08,Интерфакс,Производители аммиака объявили о сокращении мощностей,2024-02-12,2024-02-19,0.131769,0.020236,0.039161
2024-02-13,Argus,Рост цен на зерно поддерживает спрос на удобрения,2024-02-19,2024-02-26,0.039615,0.063411,0.019769
2024-02-13,CRU,Стабилизация рубля снижает экспортные премии,2024-02-19,2024-02-26,0.039615,0.063411,0.019769
2024-02-16,Коммерсантъ,Производители аммиака объявили о сокращении мощностей,2024-02-19,2024-02-26,0.039615,0.063411,0.019769
2024-02-29,Профильный телеграм-канал,Запущена корпоративная программа стажировок,2024-03-04,2024-03-11,0.048255,0.028492,0.115436
2024-03-11,Bloomberg,Газ дорожает на фоне перебоев с поставками — растёт себестоимость азотных удобрений,2024-03-11,2024-03-18,0.064455,0.041855,0.003685
2024-03-21,ICIS,Цены на DAP растут на фоне крепкого спроса в Южной Азии,2024-03-25,2024-04-01,0.022013,0.058688,0.013910
2024-03-27,Bloomberg,"Ставки фрахта снижаются, логистика дешевеет",2024-04-01,2024-04-08,0.025641,0.004407,0.125168
2024-04-04,Коммерсантъ,Локдауны бьют по логистике и спросу на удобрения,2024-04-08,2024-04-15,0.063250,0.017705,0.029254
2024-04-09,CRU,Назначен новый директор по устойчивому развитию,2024-04-15,2024-04-22,0.024820,0.029317,0.008701
2024-04-16,CRU,Экспортные котировки аммиака выросли вслед за газом,2024-04-22,2024-04-29,0.129174,0.039330,0.033353
2024-04-19,Reuters,Подписан меморандум о научном сотрудничестве с вузом,2024-04-22,2024-04-29,0.129174,0.039330,0.033353
2024-04-23,Коммерсантъ,Газ дешевеет вторую неделю подряд,2024-04-29,2024-05-06,0.044595,0.028581,0.048582
2024-04-23,Коммерсантъ,DAP дешевеет из-за слабого спроса в Индии,2024-04-29,2024-05-06,0.044595,0.028581,0.048582
2024-04-24,Argus,Рост цен на зерно поддерживает спрос на удобрения,2024-04-29,2024-05-06,0.044595,0.028581,0.048582
2024-05-01,Коммерсантъ,DAP дешевеет из-за слабого спроса в Индии,2024-05-06,2024-05-13,0.000000,0.049829,0.000417
2024-05-02,Argus,"Энергокризис в Европе усиливается, заводы сокращают выпуск аммиака",2024-05-06,2024-05-13,0.000000,0.049829,0.000417
2024-05-04,CRU,Нарушение цепочек поставок: контейнеры подорожали в разы,2024-05-06,2024-05-13,0.000000,0.049829,0.000417
2024-05-23,Интерфакс,Рост цен на зерно поддерживает спрос на удобрения,2024-05-27,2024-06-03,0.004088,0.013596,0.057302
2024-06-06,Bloomberg,"Поставки калия восстанавливаются, цены MOP снижаются",2024-06-10,2024-06-17,0.055165,0.023927,0.023031
2024-06-14,Reuters,Назначен новый директор по устойчивому развитию,2024-06-17,2024-06-24,0.031131,0.031051,0.008241
2024-06-18,Коммерсантъ,Опубликован годовой ESG-отчёт компании,2024-06-24,2024-07-01,0.016924,0.039626,0.077219
2024-06-27,Коммерсантъ,Запуск простаивавших мощностей давит на цены аммиака,2024-07-01,2024-07-08,0.071635,0.056280,0.046343
2024-07-04,ICIS,Запуск простаивавших мощностей давит на цены аммиака,2024-07-08,2024-07-15,0.013770,0.048594,0.037080
2024-07-11,ICIS,Экспортные котировки аммиака выросли вслед за газом,2024-07-15,2024-07-22,0.016402,0.058795,0.053815
